conversation_id,tweet_id,customer_message,turn_count,candidate_intent,gold_intent,expected_escalation,annotation_notes,ai_intent,ai_escalation,ai_confidence,ai_reason,ai_source,annotation_status,annotation_method
AmazonHelp_1258949,1258948,"@AmazonHelp In realtÃ  sÃ¬, la cosa peggiore Ã¨ che inserendo il codice di spedizione sul sito delle poste, mi appare che il prodotto non Ã¨ disponibile.",5,technical_issue,technical_issue,False,"Customer reports an app, website, device, Alexa, or other technical malfunction.",technical_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1615590,1615590,"@115850  refund is issued on24th Oct, it's been 10days still awaiting for refund. Such an amazing service kudos.",2,returns_refunds,returns_refunds,False,"Customer is asking about a return, refund, replacement-after-return, or refund timing issue.",returns_refunds,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1005649,1005649,"@115850 getting 404 on hitting help link, video: https://t.co/W2svfKSNWX",2,digital_content,technical_issue,False,The message is a brief acknowledgement with no actionable support problem.,technical_issue,0.0,75.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2311420,2311419,@AmazonHelp A few episodes are missing from the list. It also happened in my PC. So both my android phone and PC have same issue. https://t.co/IVrp2ZL52x,4,product_issue,product_issue,False,"Customer reports a defective, damaged, missing-part, or malfunctioning physical product.",product_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_816337,816336,@AmazonHelp There is no option for refund - I do not want a replacement.,4,returns_refunds,returns_refunds,False,"Customer is asking about a return, refund, replacement-after-return, or refund timing issue.",returns_refunds,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1223637,1223616,@AmazonHelp Then tell ur account spl team to contact with me. Cause my mobile numbers are blocked by amazon so I can't call them.,15,account_access,account_access,False,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2463900,2463895,@AmazonHelp kindly change the delivery date as soon as possible.,10,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1715669,1715669,"Please add some more Jackie Chan movies @119625
ð¯",2,digital_content,digital_content,False,"Customer is asking about digital media availability, playback, Kindle, or Prime Video content.",digital_content,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_606069,606068,@AmazonHelp Amazon.in. I know the list of accepted payments. I used a Visa and credit (Master) cards to pay. It doesn't seem to accept! What should I do?,5,payment_billing,payment_billing,False,"Customer is asking about a charge, card payment, billing amount, or payment processing issue.",payment_billing,0.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_51609,51608,@AmazonHelp I'm not sure where it is. I'm still waiting for it so i can return it because I don't need it anymore,4,returns_refunds,returns_refunds,False,"Customer is asking about a return, refund, replacement-after-return, or refund timing issue.",returns_refunds,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_754132,754132,"Returned my order to their drop-off site at UIC and within hours I was refunded my rewards points. Crazy efficiency, @115821!",2,returns_refunds,returns_refunds,False,"Customer is asking about a return, refund, replacement-after-return, or refund timing issue.",returns_refunds,0.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_233769,233769,When you buy stuff off @115830 and it turns up broken. Then it actually costs money to send it back. I am spending Â£20 to have nothing ð,2,product_issue,product_issue,False,"Customer reports a defective, damaged, missing-part, or malfunctioning physical product.",product_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_926670,926670,Amazon can't deliver the product nor they can't refund it. @115850 #GreatIndianSale #AmazonGreatIndianFestival #AmazonLoot #FraudSale https://t.co/Ln6S0IskN7,2,returns_refunds,returns_refunds,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,returns_refunds,1.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1612030,1612030,"@115825 Hey, kÃ¶nntet ihr weitere Staffeln von der Serie ""Big Time Rush"" in euer Prime-Programm aufnehmen? :) WÃ¤re Super!",2,prime_membership,prime_membership,False,"Customer is discussing Prime membership benefits, eligibility, or Prime-related service expectations.",prime_membership,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_937293,937293,"Product not delivered even after local place for 6 days. Pathetic service of @115850 .4 times complaint, no results .I am a prime member.",4,prime_membership,prime_membership,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,prime_membership,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_980224,980224,I paid for overnight shipping so I could play breath of the wild tonight but it never came.. wheres my package pls... @115821,10,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1161689,1161689,@AmazonHelp we made FOUR orders via prime yesterday (Saturday) and these are the shipping estimates. What exactly are we paying Prime for? https://t.co/asjXxodj7N,2,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2832876,2832873,"@AmazonHelp I'm going in circles! this just brings me back to the 'return' option, and only lets me get a refund, not a replacement!",6,returns_refunds,returns_refunds,False,"Customer is asking about a return, refund, replacement-after-return, or refund timing issue.",returns_refunds,0.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1555489,1555488,"@AmazonHelp In the month of July my mobile screen got damaged while traveling to office and then I logged the complaint at your customer service,",4,product_issue,product_issue,False,"Customer reports a defective, damaged, missing-part, or malfunctioning physical product.",product_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1961173,1961173,"O Kindle Ã© ridÃ­culo de leve e bonito, dÃ¡ atÃ© gosto de ler
Te amo @117086",2,digital_content,digital_content,False,"Customer is asking about digital media availability, playback, Kindle, or Prime Video content.",digital_content,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_331950,331950,@115850 - why it takes hours to reflect the added money as pay balance. You say it takes only 15 mins but in my case  it take hours?xplain,4,amazon_pay,amazon_pay,False,"Customer is asking about Amazon Pay balance, top-up, cashback, or Amazon Pay support.",amazon_pay,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_518783,518783,Thanks for ruining the Christmas wine tour @115817 and @115821 whatâs the point of paying extra for prime?? #fail https://t.co/BMERYomNAb,5,prime_membership,prime_membership,False,"Customer is discussing Prime membership benefits, eligibility, or Prime-related service expectations.",prime_membership,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1044270,1044270,"@115825 Hey ihr Guten, gibt es eigentlich schon ein Datum fÃ¼r das Release der dritten Staffel von Mr. Robot auf Prime?",2,prime_membership,prime_membership,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,prime_membership,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2880519,2880519,"@AmazonHelp In item page its showing COD eligible for Red Mi 4 16GB, but on checkout page its showing POD not available. IS THIS A JOKE OR WHAT?!! After waiting one week this is the result. Shame of u Amazon.in ð¡ https://t.co/dS9nlYGf1o",6,product_information,product_information,False,"Customer is asking for product information, pricing, availability, compatibility, or program details.",product_information,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_661484,661484,@AmazonHelp i can't control my hue lights and tp link switches via Alexa app on fire 8. It just allows me the option to edit my groups and devices. Am i missing something?,2,product_issue,technical_issue,True,The customer reports repeated delivery failures and four prior complaints with no result.,technical_issue,0.0,75.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2808980,2808979,"@AmazonHelp Definitely not helpful when this is how i chose the wrong product in the first place. Thank you for taking the time, though. I'm gonna try and google it.",4,product_issue,delivery_problem,False,The customer paid for overnight shipping but the package did not arrive.,product_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2834176,2834176,Les problÃ¨mes de livraison dâ @120533 sont dÃ©cidÃ©ment rÃ©currents. Rien Ã  voir avec ce que câÃ©tait avant. Ras le bol!,4,other,other,False,Message does not clearly fit another intent or is primarily feedback/general commentary.,other,0.0,60.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2358896,2358896,So Iâm looking at my order from Amazon and Iâm mad at myself because I order the wrong case for my phone.ð I have a iPhone 6s and I got a iPhone 6 Plus.ðð so ya ya me.,2,order_management,order_management,False,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",order_management,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1506305,1506305,"I would really like the option to pick who delivers my @115821 shipments. Weekend deliveries from independent drivers are great in theory, except they routinely flake and donât show up. Promised delivery dates are almost always missed, so why offer it?",2,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2424483,2424483,@AmazonHelp money came out my account for amazon prime but iâm not an amazon prime user?,6,account_access,account_access,False,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_277241,277225,@AmazonHelp @115821 how much longer do I need to wait? It's been more than a week now....,24,other,other,False,Message does not clearly fit another intent or is primarily feedback/general commentary.,other,0.0,60.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2303928,2303928,@115851 @115821 @AmazonHelp The lack of help I have encountered to find my package is unacceptable.  From customer sevice to logistic has been 4 days of BS,3,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_337390,337390,"hair is dead, got a cold, and my amazon delivery didn't arrived today",8,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1843552,1843552,Well I just bought this on Amazon video and it won't play. Says I own it but nothing. Wonderful. â watching... https://t.co/bGr4NYAORM,2,digital_content,digital_content,False,"Customer is asking about digital media availability, playback, Kindle, or Prime Video content.",digital_content,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1116988,1116988,WHY DOES AMAZON ALWAYS CAUSE PROBLEMS FOR ME LIKE THIS IS THE 4th EFFING TIME THEY CHARGED ME FOR SUBSCRIPTIONS THAT I DIDNT SIGN UP FOR ð¤ð¤,2,payment_billing,payment_billing,False,"Customer is asking about a charge, card payment, billing amount, or payment processing issue.",payment_billing,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_297966,297966,So here's a great design.. My @115830 account was hacked and so I went to contact Amazon. Turns out you can't unless you log in! ððð£,2,account_access,account_access,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,account_access,1.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_789065,789065,"@AmazonHelp @115850 @115851  very bad service, not at all 'Customer- centric Company', doing good job in disappointing customers.",2,technical_issue,technical_issue,False,"Customer reports an app, website, device, Alexa, or other technical malfunction.",technical_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1374564,1374564,@115821 Second release day delivery fail in three months for @115821 Pre-orderers are suckers again. #amazonprime #amazon #brutalservice,3,delivery_problem,product_information,False,The customer asks about availability of device skills under geographic restrictions.,order_management,1.0,75.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_344609,344609,Did you know? Amazon India fools people by making them pay Prime Membership fees but rarely delivers products within 4 days? #amazonsucks,4,prime_membership,prime_membership,False,"Customer is discussing Prime membership benefits, eligibility, or Prime-related service expectations.",prime_membership,0.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1234682,1234682,Now I really need help from @10265 and @1015 to get my money from @115823 to my bank account. https://t.co/Ez5fUxlB9V,2,account_access,account_access,False,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2383246,2383252,"@AmazonHelp I couldn't contact due to your faulty IVRS, I only mailed them as you said, Today is my second day of wearing floaters @95892 chappals, all the staff members are staring at me and laughing behind my back, I can't bear the humiliation any more, Kindly arrange urgent replacemt",13,product_issue,product_issue,False,"Customer reports a defective, damaged, missing-part, or malfunctioning physical product.",product_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1509331,1509330,@AmazonHelp Any timelines? Can I expect 5 Kannada movies in this month,4,digital_content,digital_content,False,"Customer is asking about digital media availability, playback, Kindle, or Prime Video content.",digital_content,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1489145,1489145,"@AmazonHelp am having a problem on order, payment declined, checked cards OK.
Where do I go from here?",4,payment_billing,payment_billing,False,"Customer is asking about a charge, card payment, billing amount, or payment processing issue.",payment_billing,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_140075,140074,"@AmazonHelp No.  My whole family have Echos, but only a few appear in my contacts.  And only a few of them see me.  So exactly what contact info should they have stored about me to see me in their Echo contacts?",3,technical_issue,technical_issue,False,"The issue is with Echo contact visibility and device behavior, which is a technical problem.",digital_content,0.0,65.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_490415,490408,@AmazonHelp Hola tendÃ­a que entregarse hoy. Correos express lo tiene en su delegaciÃ³n de aquÃ­ desde las 7:58 pero no estÃ¡ en reparto y no contestan. Me temo que no llegara hoy . El nÃºmero de pedido es 6340024__credit_card__,10,payment_billing,payment_billing,False,"Customer is asking about a charge, card payment, billing amount, or payment processing issue.",payment_billing,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1007054,1007054,@AmazonHelp @116928 ninguno de los dos pedidos ha llegado... De nada ha valido q comprase con tiempo #nohappybrithday ð¤¦ââï¸ð https://t.co/6wgl3N4f2k,8,technical_issue,technical_issue,False,"Customer reports an app, website, device, Alexa, or other technical malfunction.",technical_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_284009,284009,"@AmazonHelp @115821 No card left, no phone call to advise they were here. Reception manned 100% of the time!",4,payment_billing,payment_billing,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,payment_billing,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1090501,1090501,"@115830 pre-ordered ""Dirty Kids: Chasing Freedom with America's Nomads"" released a month ago, still out of stock &amp; no sign of coming â¹ï¸ð«",2,order_management,order_management,False,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",order_management,0.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2938292,2938291,"@AmazonHelp Thank you! I guess its too late now as I see my order has already been dispatched :( Per track details, it would reach me by 8 pm. Feeling bad about it..",3,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1507286,1507284,"@AmazonHelp Sir kya kare aap log koi option hi nhi chodte. Diwali 2017 k liye order tha, 2018 me deilver karenge??",7,order_management,order_management,False,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",order_management,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_789731,789730,"@AmazonHelp again i am saying, NO EMAIL RECEIVED, surely i am talking to a shirker.
pathetic service and customer team.
#amazonDontCare",4,account_access,account_access,True,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,1.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_140078,140082,@AmazonHelp Yeah I'm just going to cancel my order and never use Amazon again. Sick of dealing with my orders never coming on time and your site lied about the ship date to get me to purchase it. Thanks for letting me waste money on prime.,7,order_management,order_management,True,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",order_management,1.0,85.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1346549,1346546,"@AmazonHelp I'll contact you on chat, thanks",5,support_followup,support_followup,False,Customer is following up on prior support contact or asking to reach customer service.,support_followup,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_472426,472429,"@AmazonHelp @115850 plz announce #lgq6appquiz and #AmazonRechargesQuiz first, then conduct #SuperValueDayQuiz simply conducting contest without announcing the winners is really bad.",5,payment_billing,other,False,The customer is complaining about a contest announcement/result rather than payment or ordering.,payment_billing,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2897612,2897612,"@AmazonHelp Hello, y a-t-il possibilitÃ© de dÃ©dommagement lorsqu'une commande prime a du retard ?",2,prime_membership,prime_membership,False,"Customer is discussing Prime membership benefits, eligibility, or Prime-related service expectations.",prime_membership,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_377484,377483,@AmazonHelp Had a query with the return label. What do I do if I don't have access to a printer?,5,returns_refunds,returns_refunds,False,"Customer is asking about a return, refund, replacement-after-return, or refund timing issue.",returns_refunds,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2385514,2385514,Golmaal again movie coming to Amazon Prime when ? @128308 @119625 @115850 @93143 @93143 #GolmaalAgain,2,prime_membership,prime_membership,True,"Customer is discussing Prime membership benefits, eligibility, or Prime-related service expectations.",prime_membership,1.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1546047,1546047,I got my @121284 3 days back.. And I see few skills are not available bcas of geo restrictions. Like Broadlink remote control which was one of the things i planned to setup first.. When ll these skills be enabled for India?,2,product_information,product_information,False,The customer asks when geographically restricted device skills will become available.,product_information,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1392967,1392967,Dear @115850 what do i have to do to get my order?? Only getting text that they tried to deliver nuthing else! the hell is wrong guys ??,2,order_management,order_management,False,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",order_management,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2838520,2838520,"@789972 @115833 No, it's the location, says ""the weather in Littleport is..."" Nothing that connects me back to Littleport on my account",2,account_access,account_access,False,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_449967,449967,"Okay @AmazonHelp I'm confused. How have I ended up with two different Amazon accounts for one email address? Different address books, payment methods and wishlists.",4,account_access,account_access,False,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1223596,1223596,"@115830 hi this order still hasn't arrived can you help please,  supplier says you're on charge of delivery ð https://t.co/patAW5l1fO",3,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",delivery_problem,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2487028,2487028,@122924 @116316 Der klassische Hermes SpaÃ wie immerâ¦ Prime lohnt sich ja total &gt;_&gt; https://t.co/zdYAMQxQvr,2,prime_membership,prime_membership,False,"Customer is discussing Prime membership benefits, eligibility, or Prime-related service expectations.",prime_membership,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_442888,442878,@AmazonHelp You are handling tweeter.. check everything yourself ban the seller it will spoil your business and customer expectations from AMAZON. Refund my Amazon pay balance.,10,amazon_pay,amazon_pay,False,"Customer is asking about Amazon Pay balance, top-up, cashback, or Amazon Pay support.",amazon_pay,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
